y_true,y_score
0.0,0.16070527
0.0,0.135296
0.0,0.194802
0.0,0.17452382
0.0,0.19025978
0.0,0.173104
0.0,0.1848803
0.0,0.19418196
0.0,0.17914173
0.0,0.14924763
0.0,0.15954211
0.0,0.16042319
0.0,0.16178346
0.0,0.1661352
0.0,0.15296665
0.0,0.16845304
0.0,0.15310006
0.0,0.14434946
0.0,0.15035553
0.0,0.14967945
0.0,0.15817249
0.0,0.14711295
0.0,0.15945683
0.0,0.17375208
0.0,0.26089907
0.0,0.21522923
0.0,0.21276055
0.0,0.19935529
0.0,0.18377401
0.0,0.21908164
0.0,0.21682635
0.0,0.19220254
0.0,0.17658499
0.0,0.1743609
0.0,0.1662366
0.0,0.15958028
0.0,0.15507965
0.0,0.15960054
0.0,0.15941018
0.0,0.16242404
0.0,0.17983687
0.0,0.19409068
0.0,0.18336074
0.0,0.19414026
0.0,0.18348964
0.0,0.20541027
0.0,0.18992406
0.0,0.19121552
0.0,0.16221206
0.0,0.1650716
0.0,0.15692808
0.0,0.19697045
0.0,0.15419461
0.0,0.15003993
0.0,0.15315954
0.0,0.15217365
0.0,0.1530132
0.0,0.14786576
0.0,0.14763588
0.0,0.20481168
0.0,0.15061326
0.0,0.15461051
0.0,0.21684667
0.0,0.17014056
0.0,0.17818852
0.0,0.1663587
0.0,0.15809609
0.0,0.15844604
0.0,0.18093444
0.0,0.22145009
0.0,0.31952143
0.0,0.35313413
0.0,0.28776115
0.0,0.28577268
0.0,0.34475225
0.0,0.3089973
0.0,0.27882838
0.0,0.25448868
0.0,0.25958583
0.0,0.24581794
0.0,0.24618185
0.0,0.3323888
0.0,0.31109706
0.0,0.28328767
0.0,0.27883393
0.0,0.27586293
0.0,0.2539984
0.0,0.32116058
0.0,0.25971243
0.0,0.37735015
0.0,0.3941991
0.0,0.35625517
0.0,0.25599036
0.0,0.2531658
0.0,0.2595921
0.0,0.27220875
0.0,0.34124652
0.0,0.25154018
0.0,0.313816
0.0,0.24714758
0.0,0.24522467
0.0,0.21919242
0.0,0.24715818
0.0,0.22543646
0.0,0.25389907
0.0,0.34751847
0.0,0.36766958
0.0,0.31028107
0.0,0.26744696
0.0,0.34167254
0.0,0.284544
0.0,0.35207108
0.0,0.28690308
0.0,0.3280136
0.0,0.3109804
0.0,0.36909324
0.0,0.309678
0.0,0.37376252
0.0,0.33787507
0.0,0.3448836
0.0,0.37449506
0.0,0.40907937
0.0,0.3211174
0.0,0.37274104
0.0,0.34881207
0.0,0.38618287
0.0,0.46249703
0.0,0.48872474
0.0,0.47498816
0.0,0.4304016
0.0,0.42732027
0.0,0.4371996
0.0,0.4513182
0.0,0.45721984
0.0,0.4400127
0.0,0.41119418
0.0,0.43539432
0.0,0.42324322
0.0,0.37191737
0.0,0.38221204
0.0,0.39565483
0.0,0.39858398
0.0,0.43764836
0.0,0.39740714
0.0,0.37171987
0.0,0.3608469
0.0,0.36158285
0.0,0.3266635
0.0,0.36995447
0.0,0.35444126
0.0,0.37509358
0.0,0.3126295
0.0,0.33683145
0.0,0.43517667
0.0,0.36607453
0.0,0.35414112
0.0,0.34653625
0.0,0.37831417
0.0,0.3557392
0.0,0.32988968
0.0,0.3331066
0.0,0.4204305
0.0,0.38077074
0.0,0.34112367
0.0,0.40724972
0.0,0.377209
0.0,0.3613429
0.0,0.43344855
0.0,0.40931493
0.0,0.37725246
0.0,0.35813466
0.0,0.32599902
0.0,0.3467864
0.0,0.33548054
0.0,0.34460768
0.0,0.35968208
0.0,0.3705257
0.0,0.38696748
0.0,0.37546253
0.0,0.3662499
0.0,0.4297242
0.0,0.40817767
0.0,0.4321481
0.0,0.3376287
0.0,0.35608763
0.0,0.40616125
0.0,0.35679352
0.0,0.32325143
0.0,0.34067053
0.0,0.40184546
0.0,0.44560406
0.0,0.3939445
0.0,0.3847478
1.0,0.3925857
1.0,0.38826758
1.0,0.4223857
1.0,0.3443437
1.0,0.32818633
1.0,0.3194501
1.0,0.3277754
1.0,0.35326678
1.0,0.38279328
0.0,0.17083189
0.0,0.17852281
0.0,0.18151574
0.0,0.18205838
0.0,0.17628111
0.0,0.20656535
0.0,0.17948066
0.0,0.20652246
0.0,0.1604688
0.0,0.16584961
0.0,0.15351456
0.0,0.16904594
0.0,0.140651
0.0,0.16963087
0.0,0.16774018
0.0,0.16193056
0.0,0.14605658
0.0,0.14993845
0.0,0.12733051
0.0,0.16206089
0.0,0.14167708
0.0,0.14504378
0.0,0.15390128
0.0,0.14029558
0.0,0.14659087
0.0,0.14020482
0.0,0.14734241
0.0,0.16078123
0.0,0.15595098
0.0,0.1394166
0.0,0.13839985
0.0,0.14491542
0.0,0.13947234
0.0,0.14207526
0.0,0.17030546
0.0,0.1700872
0.0,0.16262788
0.0,0.18674365
0.0,0.17649862
0.0,0.18726702
0.0,0.17558807
0.0,0.17542392
0.0,0.15674315
0.0,0.15482172
0.0,0.16272822
0.0,0.1579718
0.0,0.15191524
0.0,0.14355159
0.0,0.15590675
0.0,0.15685216
0.0,0.15723781
0.0,0.1375709
0.0,0.14293255
0.0,0.16134298
0.0,0.1689915
0.0,0.1439815
0.0,0.12980354
0.0,0.1483387
0.0,0.14327143
0.0,0.12458146
0.0,0.120325625
0.0,0.13911489
0.0,0.14953323
0.0,0.12216384
0.0,0.12149717
0.0,0.12911764
0.0,0.1623742
0.0,0.16066965
0.0,0.12739599
0.0,0.13565116
0.0,0.15860502
0.0,0.13320766
0.0,0.1373996
0.0,0.13701242
0.0,0.15969047
0.0,0.1794901
0.0,0.13466316
0.0,0.15565562
0.0,0.15256353
0.0,0.16110218
0.0,0.14928804
0.0,0.17551257
0.0,0.18051761
0.0,0.19348484
0.0,0.17631274
0.0,0.19301169
0.0,0.21699148
0.0,0.20001116
0.0,0.20733024
0.0,0.17974934
0.0,0.19135754
0.0,0.19258565
0.0,0.17972292
0.0,0.1717233
0.0,0.1715848
0.0,0.17331682
0.0,0.16588968
0.0,0.16671132
0.0,0.17166702
0.0,0.16103162
0.0,0.14256081
0.0,0.14043966
0.0,0.14710705
0.0,0.16701843
0.0,0.16811393
0.0,0.14678752
0.0,0.13328017
0.0,0.13164967
0.0,0.14622284
0.0,0.14078233
1.0,0.14174785
1.0,0.13607949
1.0,0.14964981
1.0,0.13679226
1.0,0.14082152
1.0,0.13462098
1.0,0.1285697
1.0,0.13472174
1.0,0.1340327
0.0,0.16731408
0.0,0.1704583
0.0,0.14052837
0.0,0.14029603
0.0,0.15972656
0.0,0.16583967
0.0,0.17577428
0.0,0.17875609
0.0,0.1543787
0.0,0.15161334
0.0,0.14841884
0.0,0.1573477
0.0,0.15724227
0.0,0.15538837
0.0,0.18315142
0.0,0.1579311
0.0,0.13126102
0.0,0.16506927
0.0,0.16586109
0.0,0.14534728
0.0,0.13947642
0.0,0.149497
0.0,0.13235585
0.0,0.13082418
0.0,0.120485246
0.0,0.14936146
0.0,0.14151824
0.0,0.14135444
0.0,0.12621596
0.0,0.13008535
0.0,0.13515447
0.0,0.1598652
0.0,0.20378801
0.0,0.18724446
0.0,0.13918655
0.0,0.13590088
0.0,0.15666059
0.0,0.20624804
0.0,0.1566482
0.0,0.15905643
0.0,0.13575956
0.0,0.15439823
0.0,0.17001612
0.0,0.16307542
0.0,0.17070974
0.0,0.1648626
0.0,0.14699277
0.0,0.17012523
0.0,0.16257149
0.0,0.14794815
0.0,0.15791772
0.0,0.17198439
0.0,0.17984879
0.0,0.17097215
0.0,0.19310904
0.0,0.20290054
0.0,0.19028476
0.0,0.20123982
0.0,0.16993992
0.0,0.16989115
0.0,0.15517722
0.0,0.16891669
0.0,0.15683757
0.0,0.15492226
0.0,0.16432069
0.0,0.16525388
0.0,0.21349837
0.0,0.16885732
0.0,0.17605965
0.0,0.16762231
0.0,0.18037766
0.0,0.14460693
0.0,0.14745018
0.0,0.13912018
0.0,0.1525063
0.0,0.14079003
0.0,0.15312973
0.0,0.13035852
0.0,0.1608744
0.0,0.14609362
0.0,0.12725176
0.0,0.12368684
0.0,0.114945315
0.0,0.12264552
0.0,0.11305746
0.0,0.112359986
0.0,0.10870531
0.0,0.12084846
0.0,0.12768982
0.0,0.11674349
0.0,0.11770152
0.0,0.110445805
0.0,0.116962284
0.0,0.12594163
0.0,0.14299026
0.0,0.17018849
0.0,0.16930345
0.0,0.15596399
0.0,0.15995039
0.0,0.15537806
0.0,0.14642884
0.0,0.14573297
0.0,0.12536022
0.0,0.18338749
0.0,0.16210912
0.0,0.15301336
0.0,0.14343846
0.0,0.15947066
0.0,0.15630448
0.0,0.18137147
0.0,0.14504798
0.0,0.1792041
0.0,0.15790433
0.0,0.18099168
0.0,0.1574287
0.0,0.17162737
0.0,0.14689973
0.0,0.17105627
0.0,0.1543259
0.0,0.16117533
0.0,0.16743724
0.0,0.16402471
0.0,0.16119125
0.0,0.1725236
0.0,0.16473322
0.0,0.16542234
0.0,0.1654955
0.0,0.1562934
0.0,0.16307415
0.0,0.15563193
0.0,0.1646456
0.0,0.16077606
0.0,0.15676585
0.0,0.16619198
0.0,0.17219883
0.0,0.16990335
0.0,0.15933096
0.0,0.16263047
0.0,0.17162512
0.0,0.16148283
0.0,0.16525684
0.0,0.16865347
0.0,0.16405389
0.0,0.16034374
0.0,0.16041057
0.0,0.17042837
0.0,0.16977891
0.0,0.16696447
0.0,0.1624266
0.0,0.15420575
0.0,0.16026835
0.0,0.16469097
0.0,0.15945047
0.0,0.16548496
0.0,0.1479969
0.0,0.15745966
0.0,0.1633412
0.0,0.17311616
0.0,0.16163345
0.0,0.1696621
0.0,0.16187632
0.0,0.18602803
0.0,0.19768682
